gene_symbol,S100a3
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
parameter_name,CV
gene_accession_id,MGI:1338849
pvalue,0.3101079
analysis_id,a87cj49y33j592c
mouse_strain,C57BL
