analysis_id,yz1y2b05ecb729w
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
parameter_name,Red blood cell count
pvalue,0.1529021
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
