parameter_name,Contact righting
analysis_id,rc2q8v2ltl3610l
gene_symbol,Npbwr1
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
pvalue,0.9902558
