gene_symbol,Npbwr1
mouse_strain,C57BL
analysis_id,j13ij9t6p1k42ya
pvalue,0.8825405
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
