parameter_name,Whole arena average speed
analysis_id,r9wn9362u226746
gene_accession_id,MGI:3033992
mouse_strain,C57BL
gene_symbol,Cldn19
parameter_id,JAX_OFD_009_001
pvalue,0.540986
mouse_life_stage,Early adult
