analysis_id,0o2d552tc445vj6
gene_symbol,Ift74
mouse_life_stage,Early adult
pvalue,0.4676074
parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1914944
mouse_strain,C57BL
