gene_symbol,Gpa33
analysis_id,7404280tz3iv0m6
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.7223918
mouse_strain,C54BL
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:1891703
