analysis_id,oq406b802wp0993
gene_symbol,Bmi1
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.5272759
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_089_001
