Parameter_name,Hindpaw - size
Gene_symbol,Ints7
Parameter_id,JAXLA_CSD_041_002
Mouse_life_stage,E9.5
mouse_strain,C57BL
Pvalue,0.136088
gene_accession_id,MGI:1924315
Analysis_id,6u451q0vzselk2h
