analysis_id,083v2129b18i1pa
parameter_id,IMPC_EYE_092_002
mouse_life_stage,Early adult
gene_accession_id,MGI:88328
mouse_strain,C57BL
pvalue,0.1098609
gene_symbol,Tnfsf8
parameter_name,Retina (combined)
