analysis_id,5eb9op38kzwqm41
gene_symbol,Fgb
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
pvalue,0
parameter_name,Edema
parameter_id,IMPC_GEO_064_001
mouse_strain,C57BL
