analysis_id,a4n8m952b66kgs4
mouse_life_stage,Early adult
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_accession_id,MGI:88071
pvalue,0.9759294
parameter_id,IMPC_EYE_017_001
gene_symbol,Arnt
