analysis_id,6ji58wm80ky5c71
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.619041
mouse_life_stage,E12.5
