parameter_name,HDL-cholesterol
analysis_id,l0z6vkh2z445nx4
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.9536892
mouse_life_stage,Early adult
gene_symbol,Slc30a4
parameter_id,HMGULA_CBC_016_001
