analysis_id,106g472preq524a
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of cDC
pvalue,0.1315991
mouse_strain,C57BL
gene_accession_id,MGI:3522699
parameter_id,MGP_IMM_066_001
gene_symbol,Trpa1
