parameter_name,Corneal opacity
gene_accession_id,MGI:1921802
parameter_id,IMPC_EYE_008_001
analysis_id,7395c6446h006hy
mouse_strain,129SV
gene_symbol,Nipal3
pvalue,0.5008432
mouse_life_stage,Early adult
