parameter_id,UCD_OWT_003_001
pvalue,0.3840782
gene_symbol,Mov10
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
analysis_id,k9dj9l2602vyn51
parameter_name,Spleen weight
mouse_strain,C51BL
