analysis_id,k3i31nm9416nit5
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
parameter_name,B cell number
mouse_strain,C57BL
pvalue,0.1293761
parameter_id,MGP_PBI_034_001
mouse_life_stage,Early adult
