parameter_name,% Freezing duration pre-cue-2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9396205
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
analysis_id,277k4013g56jxj7
parameter_id,ICS_FEA_019_001
