parameter_name,B2B Cells
gene_symbol,Cpa3
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:88479
mouse_life_stage,Early adult
analysis_id,w1p121uq1tzx1sz
pvalue,0.5138133
