parameter_name,Periphery - Permanence Time
pvalue,0.439547
gene_symbol,Cntfr
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
analysis_id,fv37752r8l697cf
mouse_strain,C57BL
