gene_symbol,Dmap1
mouse_strain,C57BL
parameter_name,Startle response
pvalue,0.1210909
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
analysis_id,x9rj293de53805i
parameter_id,IMPC_CSD_036_001
