analysis_id,dj3njl0i0by3o66
parameter_name,DN CD25- NKT cells
pvalue,0.6157004
gene_symbol,Slc30a4
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
mouse_strain,C57BL
