analysis_id,7b56669hx32jrvy
gene_symbol,Col6a3
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
pvalue,0.08236217
gene_accession_id,MGI:88461
