analysis_id,zt9cvu7o81u72j9
gene_symbol,Slc45a3
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1922082
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.9671209
mouse_life_stage,Early adult
mouse_strain,C57BL
