analysis_id,4f41w10nk7ya14h
pvalue,0.2967822
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
parameter_name,Lumbar processes
mouse_life_stage,E12.5
gene_symbol,Ahcy
gene_accession_id,MGI:87968
