analysis_id,fw98igx5ld86egw
gene_accession_id,MGI:109356
pvalue,0.2474618
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_017_001
mouse_strain,C57BL
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_symbol,Snap23
