gene_symbol,Nanp
analysis_id,8nh48rr7ojyis5h
pvalue,0.7294589
mouse_strain,C57BL
gene_accession_id,MGI:1914561
parameter_id,IMPC_EYE_056_001
mouse_life_stage,Early adult
parameter_name,Mean left eye lens density
