mouse_life_stage,Early adult
parameter_id,IMPC_IPG_010_001
gene_accession_id,MGI:2444554
analysis_id,8u6wxlwtig9cr7p
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_name,Fasted blood glucose concentration
pvalue,0.7910876
