gene_symbol,F2
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
pvalue,0.5814248
parameter_name,Shape of ribcage
analysis_id,082e57500i3910n
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
