parameter_name,Periphery distance travelled
mouse_strain,C57BL
analysis_id,c81dm50n5870265
parameter_id,JAX_OFD_010_001
mouse_life_stage,Early adult
gene_symbol,Ints7
pvalue,0.9929882
gene_accession_id,MGI:1924315
