gene_symbol,Atf3
parameter_name,Total cholesterol
gene_accession_id,MGI:109384
pvalue,0.2737858
analysis_id,vk697g1s1qoi2z0
parameter_id,JAXLA_CBC_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
