parameter_name,Center permanence time
analysis_id,6s7lr8b10t4t41l
gene_symbol,Rgs20
pvalue,0.5070996
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:1929866
