gene_symbol,Nemp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
analysis_id,3022nt95pbqsm0d
pvalue,0.7855155
