analysis_id,o8b30rhe99nzqq3
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
parameter_id,IMPC_GEO_048_002
pvalue,0.4653012
parameter_name,Anophthalmia
mouse_strain,C57BL
gene_symbol,Fgb
