parameter_name,Lean/Body weight
analysis_id,1g1wuq69gud04r4
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_008_001
pvalue,0.9950166
mouse_strain,C57BL
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
