gene_symbol,Snrpb2
parameter_name,Cornea vascularisation
analysis_id,us4c83550538p32
mouse_strain,C57BL
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
pvalue,0.331182
