analysis_id,21d06n6y9j3g8i7
gene_symbol,Car13
pvalue,0.2724912
parameter_name,Skull shape
parameter_id,IMPC_XRY_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
