parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:1913396
pvalue,0.6865026
analysis_id,2zfrx9v80n61ct3
parameter_name,Placenta Size
gene_symbol,Maco1
mouse_life_stage,Early adult
mouse_strain,C57BL
