parameter_name,End-Systolic Diameter
pvalue,0.0817968
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
analysis_id,b2c770m77aqhs29
gene_symbol,Dnajc5b
