analysis_id,7n591locex6a531
mouse_life_stage,Early adult
pvalue,0.09646706
gene_accession_id,MGI:1915325
gene_symbol,Lurap1
parameter_name,30kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
