analysis_id,e0dj3f1c6sh198i
mouse_strain,C57BL
pvalue,0.7716951
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
gene_symbol,Lime1
