analysis_id,3qt442ly46os9g3
mouse_strain,C57BL
pvalue,0.3573373
gene_symbol,Orc2
mouse_life_stage,E9.5
parameter_name,12kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_006_001
gene_accession_id,MGI:1328306
