parameter_name,Average duration
parameter_id,JAX_ROT_002_001
gene_symbol,Cntfr
analysis_id,yd4r9ers407v7lw
gene_accession_id,MGI:99605
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1554692
