analysis_id,814fzz881w828j7
gene_accession_id,MGI:2441730
pvalue,0.7029006
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Tbl1xr1
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
