analysis_id,rpi3l31316b4zd3
gene_symbol,Usp37
pvalue,0.05816658
gene_accession_id,MGI:2442483
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
mouse_strain,C57BL
