analysis_id,85u3x76618a0t5s
gene_symbol,Trim46
mouse_life_stage,Early adult
pvalue,0.9290722
parameter_name,Large Unstained Cell (LUC) count
parameter_id,IMPC_HEM_039_001
gene_accession_id,MGI:2673000
mouse_strain,C57BL
