analysis_id,4vw2d3n0l713hu7
parameter_id,IMPC_IMM_046_001
pvalue,0.6859024
gene_symbol,Golm2
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
