parameter_name,Lymphocyte differential count
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E15.5
pvalue,0.1216898
parameter_id,IMPC_HEM_031_001
analysis_id,vtx0447k9yz8659
mouse_strain,C57BL
