gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.3284713
parameter_name,Fat mass
mouse_life_stage,Middle aged adult
analysis_id,x40sbzp70l11698
parameter_id,IMPC_DXA_002_001
mouse_strain,C57BL
