analysis_id,31639dal7j2ulp9
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
mouse_life_stage,Early adult
pvalue,0.2436703
parameter_name,End-Systolic Diameter
mouse_strain,C57BL
parameter_id,IMPC_ECH_001_001
