parameter_name,Whole arena average speed
gene_symbol,Trim46
pvalue,0.6189043
parameter_id,ESLIM_007_001_005
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1t1k0ho0206t08i
gene_accession_id,MGI:2673000
