gene_symbol,Mgst2
gene_accession_id,MGI:2448481
parameter_name,Distance travelled - total
parameter_id,JAXLA_OFD_020_001
pvalue,0.09116908
mouse_strain,C57BL
analysis_id,37f51035r3s9z93
mouse_life_stage,Early adult
