gene_symbol,Trim46
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
pvalue,0.4961911
parameter_name,Corneal vascularization
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
analysis_id,9a461guqoo092y4
