parameter_id,IMPC_ABR_012_001
gene_symbol,Zfp683
pvalue,0.6035258
parameter_name,30kHz-evoked ABR Threshold
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3650254
analysis_id,t7p54g4sd249d0m
