analysis_id,p697wfgi8li5edm
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
parameter_id,IMPC_CBC_001_001
parameter_name,Sodium
pvalue,0.7695471
mouse_strain,C57BL
