gene_symbol,Mgst2
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,40po9320favvjlo
parameter_name,Body Weight
gene_accession_id,MGI:2448481
parameter_id,M-G-P_020_001_001
pvalue,0.9301938
