gene_symbol,Trp53i11
parameter_id,MGP_PBI_015_001
pvalue,0.06605707
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
analysis_id,zejjt0k6obdz720
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
