analysis_id,vt9y7vcd7n70r02
mouse_strain,C57BL
pvalue,0.3817448
gene_accession_id,MGI:1919949
parameter_id,ESLIM_011_001_010
parameter_name,PP4 + pulse startle magnitude
mouse_life_stage,Early adult
gene_symbol,Lime1
