parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
parameter_name,Center permanence time
pvalue,0.5124853
analysis_id,9z5yhcx73x0ec6q
mouse_life_stage,Early adult
