analysis_id,j206ic085g4y31t
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neutrophil cell count
gene_accession_id,MGI:1914256
gene_symbol,Cisd2
pvalue,0.9017138
parameter_id,IMPC_HEM_030_001
