analysis_id,3nynu098jri1297
mouse_life_stage,E18.5
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_strain,C57BL
gene_symbol,Nanp
pvalue,0.3099052
parameter_id,MGP_MLN_021_001
gene_accession_id,MGI:1914561
