parameter_name,Clavicle
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_id,IMPC_XRY_007_001
gene_symbol,Mecom
pvalue,0.8904859
mouse_life_stage,Early adult
analysis_id,hk6eqm6ag654h0l
