analysis_id,758fhw23teo1l46
gene_symbol,Opn3
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_name,Follicular B Cells (CD21/35+)
parameter_id,IMPC_IMM_067_001
pvalue,0.5867561
